id,text,label
36,I purchased this toy for my puppy many months ago and it is still one of her favorites. She didn't quite figure out how to the bees out at first but now loves digging them out with her snout. I sometimes put kibble in there with the bees (and other stuffed toys and she has a ball! She actually enjoys the bees by themselves even more. After many months 2 of the bees have bits chewed off their wings but she pretty much just loves carrying them around and sqeaking them or having me toss them for catching. If you have a heavy chewy they might just destroy them but it is working great for us. My dog is now 11 months and 27lbs.,dogs
37,We have a 55gal planted tank that we wanted to add some night lighting too in addition to the LED's in our hood. Our water was perfectly clear when I put these in. Unfortunately they were not really bright enough to have any affect. I would guess that 4 or 5 would be required to adequately light our tank. At that price we would be better off buying the LED light kit that comes with a hub and has lights that plug into that.There is also the issue that 4 or 5 of these would require there own power strip and timer.,fish aquatic pets
38,These are the only treats my Yorkie will eat. First introduced by her vet at a ridiculous price. They keep her teeth super white and she never has doggy breath. I only rated 4 stars because they're not made in the USA. I get 5 packages through Amazon for the price of one at the vet.,dogs
39,"i love this scratching post! my 8 month old kitten took right to it, no toppling over. i love that it is neutrally toned and blends with my home decor. and best of all it came in two days after i placed my order. i couldnt believe how quick it shipped. this same scratcher is for sale in petco for $70 so $45 is a steal. highly recommend!",cats
40,"PetSafe Indoor Bark Control. I don't know if we have it set up right, but my dogs don't seem to mind the ultra sonic sound it emits at all. They still bark just as long when someone comes in the house.",dogs
41,"A few months back, we rescued a tiny little dog who had a horrific mouth - there was no way to avoid a HUGE bill for cleaning up her itty bitty mouth (she had an abscessed tooth, several that were loose, etc.). My vet recommended a similar product, but it had xylitol in it (which can be toxic to dogs) ... and the hunt was on for a product without this ingredient. Enter Dental Fresh! For a couple days my dogs looked at me like I'd lost what little mind they give me credit for - then they started drinking the 'treated' water like normal tap water. Since I have several dogs, I bought a couple 2qt containers to keep in the fridge with their water. A mere 1.5 oz of Dental Fresh takes care of a 2qt container of water. Since we also have a 3gal water container for them all to drink from ... I got out my calculator and did the math. 1 cup of Dental Fresh treats the 3gal water container. My tiny one's breath is noticeably fresher, and even though we didn't have other ""stench mouthed"" dogs in the house, all have breath that is much fresher to the human nose. If I'd known about Dental Fresh before, I'd have been using it for a long long time. As it is now? I will become a regular customer ... for the sake of my dog's gums and teeth ... and my nose!",dogs
42,I had purchased the Palisades II backpack which is at least 6 times the cost of this one and found this one to work much better for my dog. I couldn't believe the low price. It's designed for larger sized dogs such as dobermans or larger. Doesn't move around if secured properly. Comes with rain cover and soft water bowl. I would guess this will hold up for a while.,dogs
43,"this is always something that is good to have around, especially if you have a fish that is sensitive to temp spikes",fish aquatic pets
44,"Dear Kitty lovers, maybe the pads they make for cats are more durable and reliable than the ones they make for dogs but apparently there are some serious quality and durability issues on the pads this company sells for dogs. So dont be surprised if yours stops working days or a season or two after you buy it.",cats
45,This really takes the hair off the cat. I have other brushes but this is the only one I use now. I go outside and get them in the yard and let the hair blow away.,cats
46,I have gotten this product before as it works real well on my Yorkie-Shi-tzu mix but they have changed the scent of the product.It now smells like Almond which I really like.Leaves my dogs hair smelling good while leaving her coat just as smooth.,cats
47,Great product. The lamps are slightly smaller then their competitors to fit into the very tight Current hoods. If you choose another companies replacement lamp you many find it too long / thick to fit.,fish aquatic pets
48,"I have not yet met a cat (or dog) who didn't love these treats, unless they had a cold (they seem to be almost odorless, and most cats need to smell what they eat). We can generally get our cats to do anything/go anywhere if we shake the jar.Sorry, Amazon, but your price is high. I buy 3-6 jars at a time from With six cats (never again), we go through too many jars to pay retail.",cats
49,"My little Cockatiel Remus (Remy) loves it! He adores the flower, which I called Alien because it looks like a UFO sorta...just found out it was supposed to be a flower. Its his favorite one!",birds
50,Hello i purchesed this item for my pet and think its woderfull my dog dirent mind going in it and it was convinen for me even dou i can no longer use it because he outgrew it i wish i could find it in a larger size i would recomend it if your pet is done growing,dogs
51,"Did not work at all for me, so much algae grew I had to drain the fountain and use a pressure washer to blast all the algae off. Sludge was terrible. It looked like I had used nothing. Cleaned the fountain and tried again with the same results. Now I know why they were selling it on the clearance table at the nursery.",fish aquatic pets
52,"I always buy these as a treat for my pionus parrot. Blue Boy loves them and from Amazon, they've been fresher than what I've gotten from pet stores.",birds
53,"When you first put them in the tank, they work fine. But very quickly they clog up internally, no matter how many times you rinse them off in the sink. They are overly expensive for the short usage you can get out of them. Why isn't someone makikng a less expensive version of these?",fish aquatic pets
54,"Great toy for my puppy. My only wish is that all of the tabs were ""crinkly"", instead of 1/4 of them. Those are her favorite parts to chew.",dogs
55,"I've got a mini-Aussie/Blue Heeler mix, so she's a small/medium-sized dog at 25 lbs. She managed to chew the toy up in 20 minutes. So if you're dog's a strong chewer, don't waste your money! Great for dainty chewers, though, like my Corgi.",dogs
56,It does what it says. I can find stains easily. The problem now is that I want to get new carpet after seeing what the previous owner's dog did to the carpets. Ask yourself if you really want to know.,cats
57,"I have 6 dogs, 4 are quite old. Before I began to use this product,the old dogs had dull coats and itchy,flaky skin. I have been using this salmon oil for several years now, my dogs are in great shape, with glossy coats and absolutely no skin flakes of any type whatsoever. The oil smells pretty fishy and the dogs love it when I squirt it onto their food. The bottle lasts a long time and has saved me many vet. bills. Before I began using this with my dogs, they had skin issues which involved a visit to a vet.I highly recommend this for all dogs, especially older dogs exhibiting signs of flaky skin.UPDATE- August, 2010This is just the best supplement for your dog. I have used this for years now, my old dogs have beautiful coats and supple, non-itchy skin. It helps their elderly joints and prevents problems with my younger dogs. It is beautifully presented in a very easy to use container. I can not recommend this enough. I have really noticed the difference between my dogs and the dogs of those not using the Salmon Oil. I do not especially recommend this brand, it is a good brand and I usually use this brand because it is a bit cheaper and I am a Prime member, with free shipping. I think that all of the wild Salmon oils available are equally good, if the ingredients are the same,",dogs
58,"Awsome product. I did have a problem when I didn't notice that litter had gotten into the gear underneath and ruined a hard plastic cog. I called into the customer service line and instead of sending me a cog to replace the one I damaged....they sent me a whole new machine! Incredible customer service when compared to Comcast or other large companies. I would give it more stars except that I wish that cleaning the product were better documented. No special, high cost bags to purchase. Just use a 4 gallon cheap trash bag from your local grocery or discount store. Mine is fairly quiet, although sometimes I do hear an occasional few sounds. Worth it though.",cats
59,"I love this leash, I really do. Works great so far. However, I bought this online, then found it at my local retail store that starts with a big &#34;W&#34; and has a star in the middle for a couple dollars cheaper. I was just a little bit devastated. So, you might try there first on your next shopping trip.",dogs
60,"I installed two airstones in my tank and could not keep them from popping up and whipping around, no matter how I tried to bury the tubing. I found this product and it works great. The suction cups stick to the side of the tank well and have not popped off yet. The tubing is held in place as well as the airstones. It also comes with valve controls which are great to adjust the flow of the air through the airstones. It was inexpensive and well worth the purchase.",fish aquatic pets
61,"I have older cats who were getting a bit lazy about using the litter box. I tried all kinds of ways to lure them back into good habits, but this was the product that worked. They love it and I am soooo grateful for this litter.",cats
62,"I am very happy with this purchase. It was not expensive, is of good quality, and has some nice features. It secures to the bench seat well (and has many different securing pieces - and it isn't hard to do or take much time to install). It is just a tad bit small for my Tahoe's bench seat, but overall really nice.",dogs
63,"This company was fast and i have zero complaints!! I use this dog shampoo on my own hair. It's free of all the nasty stuff most shampoos contain and by buying it for animals you save a great deal of money!!! Just do not forget it's for animals when you read the directions because when you read the part about lathering up your hind quarters you may be a bit confused!! haha!! leaves your hair extremely soft and shiny. I researched Emu oil products and it makes your hair grow faster (eyelashes and eyebrows too!) plus stops it from falling out. If you have fine or permed hair i would not suggest this type shampoo as it doesn't add any body but if you need softness, shine,strength and overall "" hair everyone wants to pet"" buy this one!! Worth every penny and my hind quarters are like a baby's bottom now!!! hahaha",dogs
64,Not much to say it's a filter and it's an OEM part. The downside to the Biocube seems to be the filter. Many complain that it gets too dirty quickly and that is somewhat true. Back in the late 60's I used a corner filter with floss and charcoal. Nobody back then replaced the materials the just rinsed them off and back in it went. now a days it's all disposable and don't get me wrong once a month I replace mine but twice a week I rinsed it out and it's all good.,fish aquatic pets
65,My dogs are heavy chewers. Actually destroyers are more what they are when it comes to toys. Even after the innards of these are out they are still enjoyed tremendously. Company that makes these are USA family.,dogs
66,This is a great product and amazon has the best price I have been able to find. Fast delivery.ThanksMerlin,dogs
67,"Ok, to be fair LadyBug likes anything edible. :) Which was part of the problem.... Lady is a older (11-14 yr.) std. American Eskimo who loves to eat that I inherited from my Grandmother. She got up to 42 lbs on her previous diet dog food and the vet wants her to be 35. That means she was overweight by 20% &lt;cringe>. So I discovered this food and after &lt;6 months, she is 36 lbs. She likes the food and once she adjusted to the smaller quantity of food, found it to be quite filling. Our Bear (6 yr. Great Pyrenees / Border Collie mix) sometimes steals Lady's food instead of eating her own. I'll probably move Bear over to this dog food next year. I should probably note that as old as Lady is, she acts like a young dog... even though she is losing her sight slowly.",cats
68,"This is our second Gentle Leader. The first became worn after 2 years. For my very high-prey drive GSD, I depend on the control I get from the Gentle Leader to keep her from chasing every squirrel, cat, and small dog we pass while on our walks. This tool allows me to walk both our big dogs together. Otherwise, she mastered the &#34;heal&#34; and stopped pulling after a few days of consistent application and training. The dvd was very helpful for proper sizing and application.",dogs
69,I have used this toothpaste for years on my dogs. It is effective and the dogs love the taste. Our vet always comments on how great our dogs teeth look! We do brush on a daily basis so we have never had to go the anesthesia route. Pricing from this supplier is the best I have seen from any source.,dogs
70,my dog has allergies and this product was a great treat to give him that does not contain by products or preservatives.,dogs
71,"Unfortunately, this product did NOT work at all for our family. We installed the Catstop outside our home and the cats immediately went right up to it. We could slightly hear the ""ultrasonic sound"", which wasn't bad... but apparently it did not affect the cats. We will be returning this item immediately.",cats
72,"I gave these to my dog without looking at the ingredients, and it was a huge mistake. The first four or five are wheat/corn/soy mixtures. My poor pup spent the next three days with awful diarrhea. Stay away!",dogs
73,"First of all, setting up this feeder is the simplest thing ever. There is only one button, which pressed repeatedly, allows to select 1, 2 or 3 meals/day that have been preprogrammed at the most logical time interval of each other (that is 24h, 8h, and 6 hours, respectively). The first meal is repeated at same hour each day, which coincides with the time you set the feeder. It's up to you to decide when you want to feed your fishes the first meal each day. I don't see any problem with that, unlike many other people before me did.The canister that holds the food is a lot bigger than you can see in the picture, most of it being hidden in the main body of the feeder. It probably can hold same amount as one of the Tetra 29 g (1.02oz) of flake food. That's (a lot) more than a month worth of food for my fishes, so no worries here. The amount of food that is dispensed at each time can be adjusted and if the amount of food still doesn't seem to be sufficient for the number of fishes you may have, I would suggest to try more frequent meals, I mean more than 1 or 2. 3 meals a day is a little too much from my experience, while 1 is not quite enough. 2 meals a day should be ideal I'd say. Another option would be buying some feeder that is double in price or even buying 2 feeders and put them to run in the same time. I guess you have to be inventive, but for any normal amateur aquarist this type of feeder is ideal and meets their needs.The mounting is done the most natural by placing the feeder on the hood of your aquarium, and nothing else being necessary to keep it in place, although 2 velcro strips are provided. No clamp is provided but I believe that is obvious from the image. If, for any reason you can only mount the feeder by using a clamp, the alternative is to get a cheap clamp from a Dollar store but my tanks need cover anyway or else the fishes will jump out.I even like that there is the option to connect it to the air pump so clumping is prevented. I don't know if that would happen otherwise, but I decided to use the air as well. The pressure isn't high enough to see flakes flying , but the producer made sure that the air supply is cut in the time of feeding to prevent an overdose. That being said, I believe this feeder to be very good for what it is intended, and paying more would only matter for bragging rights, not performance.There is an update I'd like to add to what I have previously stated. After some time using two of these feeders, I have noticed that the small plastic clips that keep the canister in the body of the feeder have a very good chance to break. So you have to be careful when inserting or taking out the canister for a refill and also make sure you buy a good, intact unit. I am however considering different remedies, since plastic clips aren't going to set me back now. On a market invaded by cheaply made chinese products this isn't a surprise or is it (this product is actually Italian)?",fish aquatic pets
74,Love these collars and they come in different colors with different themes. They are so fun and festive! They &#34;jingle bell&#34; ones are perfect for giving your dog a cute &#34;seasonal&#34; look for any holiday photos you might use in your Christmas cards and the Halloween ones on your furry friend make adorable facebook photos!!!One last thing,dogs
75,Eheim has always been recognized as a quality manufacturer of aquarium and pond filtering systems and this is another example how well they are designed. This replacement impeller replaced one that operated for 18 yrs straight (except for cleaning of course). The canister filter continues to run flawlessly with this new part. Amazing! Hawaiian Marine Imports provided great service as well.,fish aquatic pets
76,A very reliable filter with a very good water flow rate. Easy to clean. Very quiet. Product material is very sturdy and withstands a lot of pressure during cleaning.,fish aquatic pets
77,"This is a great ""closed"" box without the down side of a closed box. It has good ventilation so odors are not trapped; the top is high, let's air and light in and is removable for easy cleaning. The Cats Rule Liners are made to fit this and other CR boxes so there is no messy plastic bag hanging out. It is practical and it looks good.I have 2 for my 2 Burmese cats who are 7-8 pounds each and the design works well for them. I am not sure how well this box would work for a larger cat since it is not as big as some.",cats
78,"This product is okay. I bought them because they were inexpensive, they're not as sharp as I'd like, but honestly they do their job/ I use them on very tiny dogs and it works just fine.",dogs
79,I purchased this 4 months ago and it sits in my fridge-a complete waste of money. 2 cats are over 10 years old and 2 are under 2 years old. One of the 10 year old cats was around 2 living on the street when I found him. The 2 younger cats were betweeen 3-4 months old also starving in the streets when I took them in. They are all fixed/micro-chipped and after their experience not really fussy what they eat. NOT ONE SINGLE CAT will TOUCH this stuff. I cannot hide even a little bit in their beloved canned Fancy Feast as they will completely ignore it and just eat the dry cat food. I am going to give it to my friend who has a dog. Maybe she will have better luck. I do not recommend this product.,cats
80,"I bought this set, even though some of the reviews mentioned it was cheap -- but for the price, I figured, what the heck. My main goal was to see if my husky puppy (5 months old, 35 pounds) would like it and I can enroll in classes and/or buy better equipment. I have used this product 5 or 6 times so far -- and it is great! I walk my dog a lot, so maybe that is why he is not creating ""holes"" in the tunnel as others have said (possible if your dogs nails are long -- if you walk him a lot - you should havn't this problem). The tunnel is sturdy and I have had no issues at all. The jump poles work really well also. I have not yet used the weave poles, as that is supposed to be the hardest to train, but I would expect the poles to hold up as well as the jump pole. For my needs -- this product was excellent!",dogs
81,"I got this as a gift from my boyfriend, he was tired of hearing me complain about how annoying it is to scope out the poop, plus he was tired of having to scope as well, so he got this. Let me tell you this thing is a lift saver. Its so easy to change the litter. It can get a bit heavy, and it is kinda big so if you put it under a table you can't roll it. But its not a big problem.I have it under my desk at the moment, and when its time to clean it, I just pull it out from under my desk, and roll.Its a very good design, it makes it easy.The tabs to keep it closed could be a bit easier, but its not a problem. Other then that, I love it!",cats
82,"...but must be handled carefully. People should read and follow instructions very closely before fumbling around with it (see other posts). Need I add; if your dog is a squirmer, this might not be the product for you?",dogs
83,"I had a similar experience as E. A. Bujak ""bbujak"". I saw this in stores and found it cheaper on Amazon through one of their sellers. I checked the chemical levels before putting doing a regular water change and putting in the Ammonia Alert sensor, everything was where it normally is before doing a change (slightly elevated PH nitrites, nitrates, and ammonia). The next day I checked the levels again, and they were where they normally are after a regular water change. A week went by and the Ammonia Alert never changed color, so I did my regular change and didn't test, thinking everything was OK. Another week goes by and I notice my tank critters starting to act odd, and one fish missing the tips of it's fins. I checked the levels and there were high nitrites, nitrates and ammonia-but the sensor had never changed color to warn me, at all. The sensor came out immediately and I did daily water changes until all the chemical levels went back to where they should be, and gradually increased the time between changes back to weekly changes as the levels stayed where they should be. I tested the sensor by holding it over an open bottle of ammonia, as per the instruction on the package, and there was zero change. Neither Seachem or the seller or Amazon would stand behind this product that put my fish in danger.The only thing I trust to leave in my tank and give me accurate real-time readings is the thermometer.This review may only be legally shown directly on Amazon.com",fish aquatic pets
84,"We use FeliWay to help keep my cat calm. He is super attached to me and is needy. The FeliWay helps calm him and makes him not act as crazy, because I can tell as soon as a refill runs out, he goes all nuts again!",cats
85,"I use Bed Buddys and put one on my 17 YO Border/Aussie mix since his hips hurt him a great deal. With this much colder than usual weather, I decided to give this a try when I noticed he was laying on the hard floor next to my oxygen concentrator, which puts out heat, but then his hip hurt so much he couldn't get up.At first when I had him lie on his bed on the disc, he looked like 'I don't want to lie here right now, I.... OH Yeah, right there!"", a very contented look on his face. I put the heated disc on his giant bed in the morning so he can move to it or away from it as he wants to, and mostly he is using it. The disc is about 12"" diameter and comes with a washable cover that is like a half circle you slide the disc in, and the top flaps close with Velcro. Also, the instructions say the disc can be heated with or without the cover, which sounds different than the way it used to be. I like to just keep the cover on, that way I don't need any hot pads to remove it from the Micro. The package says it holds the heat for 10 hours, while the description of the product says 12 hours, however I'm not sure how long it stays warm. As of now, I heated it this morning at 7 AM, it's 2 PM now and it's still warm. It would be nice if this company put out a flexible pet warmer as well, so I could drape the flexible one over the top hip, and he can lay on the disc on the bottom hip.",cats
86,"I have been running the Marineland C-220 for about 16 months on a 30 gallon saltwater aquarium.In general, this filter has had good flow, and been quiet and good filtration capability. With a monthly cleaning and replacement of media, water has been consistently clear and tested within acceptable parameters. Replacement media is a bit expensive in local stores, but can be had for much less online. Some items, such as foam pads and polishing pads, are easily cleaned for reuse.However, after one year of use, this filter began developing problems. First, the leaks developed. Leaks where the hoses attach to the valve block assembly, where the block assembly connects to the motor head, in the valve block shut off valve and even the main seal where the motor head clamps onto the canister. All the o-rings and seals appear to be fine and clean, but they will still sporadically develop leaks.The impeller has also had sporadic problems with chattering and changes in flow, even when the unit is properly primed and all air is evacuated.Last night, during a routine water change, all the problems converged in a single grand failure. The impeller failed and is now chattering loudly and no longer pumping. The primer seems to have lost its ability to pump. And, the canister is leaking from all four areas mentioned above at the same time.My question today is do I spend the $50-$60 dollars for a new impeller, o-rings and valve block, or simply start over.",fish aquatic pets
87,"Well, the dog loves 'em, and eats 'em as if it were a treat every to everyother night, but she still has a bit of plaque build-up. So, it's not a replacement for brushing, but I'm sure it helps somewhat.",dogs
88,"my dog loves the diamond brand, its the best quality food for an affordable price and sense i have a BIG dog affordability is important. i want to keep her healthy and well fed and now i can do that with out going broke",dogs
89,"Its the right size, has bags inside and an extra roll when delivered. Clip is fine despite other comments and the housing very durable!",dogs
90,"If I was simply buying these for bones I would give this five stars as the dog does love them. I'm not sure they're doing much for her teeth though. Shes a big chewer of toys, rawhides, etc and these bones are two bites and a quick gulp for her. I was hoping that they would last a little longer so she could get more of the dental benefits from them.",dogs
91,"I purchased a larger one for my big dog that went through surgery and had to be confined. However I was stupid then and purchased it at Petco and it cost a lot to say the least. I was about to pay for a smaller one for the small dog at petco and luckily couldn't find one the right size, but I saw the prices they were going for there. About $50 dollars or close to it. Decided to look online and see if I could take advantage of my trial amazon prime service and sure enough found this product and available for amazon prime shipping. Which was even better. Received it fast and furious with no addition shipping cost anddddd... the best part??? 25 dollars cheaper then I was about to spend at Petco. Same exact product practically and much cheaper. Can't go wrong with that and it works perfectly. Little dog loving the space of the larger crate purchased for her. Happy dog. Happy owner!",dogs
92,"I have used these pads for 5 years now, and once in a great while I will try a different brand just to check them out. It's not worth it really to try anything else. I always come back to these, I have not found anything as good. I don't worry about a leak, they absorb so much more then any of the other brands I've tried. They are durable and don't rip up like some of them do. The fill does not seperate like some brands either.",dogs
93,"I made the mix just a couple of days after the tin arrived, my dogs love them... then I started making treats from the book, now one of my dogs turns his nose up at store bought treats..",dogs
94,Keeps my dog from pulling and choking himself. It is easy to use and I have recommended it to family members.,dogs
95,"I bought this crate to replace a larger borrowed crate for my recently adopted, 3 year old black Lab. It was easy to set up, \. It was more suited for her size....eay to use...Thanks!",dogs
